#,Company,Symbol,Portfolio%
230,Martin Marietta Materials,MLM,0.09%
231,Ingersoll Rand Inc.,IR,0.09%
232,"Quanta Services, Inc.",PWR,0.09%
233,"Diamondback Energy, Inc.",FANG,0.09%
234,Ge Healthcare Technologies Inc.,GEHC,0.09%
235,The Kroger Co.,KR,0.09%
236,"Kinder Morgan, Inc.",KMI,0.09%
237,Pg&e Corporation,PCG,0.08%
238,"Moderna, Inc.",MRNA,0.08%
239,"Msci, Inc.",MSCI,0.08%
240,"Gartner, Inc.",IT,0.08%
241,Arch Capital Group Ltd,ACGL,0.08%
242,The Estee Lauder Companies Inc. Class A,EL,0.08%
243,Halliburton Company,HAL,0.08%
244,Costar Group Inc,CSGP,0.08%
245,Vulcan Materials Company,VMC,0.08%
246,Cognizant Technology Solutions,CTSH,0.08%
247,Devon Energy Corporation,DVN,0.08%
248,Kenvue Inc.,KVUE,0.08%
249,Baker Hughes Company,BKR,0.08%
250,Public Service Enterprise Group Incorporated,PEG,0.08%
251,Keurig Dr Pepper Inc.,KDP,0.08%
252,"Global Payments, Inc.",GPN,0.08%
253,Archer Daniels Midland Company,ADM,0.08%
254,Discover Financial Services,DFS,0.08%
255,Royal Caribbean Group,RCL,0.08%
256,"Verisk Analytics, Inc.",VRSK,0.08%
257,Cdw Corporation,CDW,0.08%
258,"Consolidated Edison, Inc.",ED,0.08%
259,"Dupont De Nemours, Inc.",DD,0.07%
260,"Rockwell Automation, Inc.",ROK,0.07%
261,"Delta Air Lines, Inc.",DAL,0.07%
262,Dollar General Corp.,DG,0.07%
263,Xylem Inc,XYL,0.07%
264,Electronic Arts Inc,EA,0.07%
265,"Ppg Industries, Inc.",PPG,0.07%
266,"Xcel Energy, Inc.",XEL,0.07%
267,The Kraft Heinz Company,KHC,0.07%
268,"The Hartford Financial Services Group, Inc.",HIG,0.07%
269,Vici Properties Inc.,VICI,0.07%
270,Fair Isaac Corporation,FICO,0.07%
271,"Monolithic Power Systems, Inc.",MPWR,0.07%
272,"West Pharmaceutical Services, Inc.",WST,0.07%
273,Fortive Corporation,FTV,0.07%
274,Ansys Inc,ANSS,0.07%
275,"Extra Space Storage, Inc.",EXR,0.07%
276,The Hershey Company,HSY,0.07%
277,Biogen Inc.,BIIB,0.07%
278,Tractor Supply Co,TSCO,0.06%
279,"Equifax, Incorporated",EFX,0.06%
280,Willis Towers Watson Public Limited Companys,WTW,0.06%
281,Edison International,EIX,0.06%
282,Resmed Inc.,RMD,0.06%
283,Mettler-Toledo International,MTD,0.06%
284,Wabtec Inc.,WAB,0.06%
285,Ebay Inc,EBAY,0.06%
286,On Semiconductor Corp,ON,0.06%
287,"Avalonbay Communities, Inc.",AVB,0.06%
288,Charter Comm Inc Del Cl a,CHTR,0.06%
289,"Church & Dwight Co., Inc.",CHD,0.06%
290,"Keysight Technologies, Inc.",KEYS,0.06%
291,"Cbre Group, Inc.",CBRE,0.06%
292,"Wec Energy Group, Inc.",WEC,0.06%
293,Targa Resources Corp.,TRGP,0.06%
294,Dollar Tree Inc.,DLTR,0.06%
295,Lyondellbasell Industries N.v. Class A,LYB,0.06%
296,"Cardinal Health, Inc.",CAH,0.06%
297,"Zimmer Biomet Holdings, Inc.",ZBH,0.06%
298,Howmet Aerospace Inc.,HWM,0.06%
299,Fifth Third Bancorp,FITB,0.06%
300,T Rowe Price Group Inc,TROW,0.06%
301,"Nvr, Inc.",NVR,0.06%
302,M&t Bank Corp.,MTB,0.06%
303,"Pultegroup, Inc.",PHM,0.06%
304,Dover Corporation,DOV,0.06%
305,Corning Incorporated,GLW,0.06%
306,Hp Inc.,HPQ,0.06%
307,"Raymond James Financial, Inc.",RJF,0.06%
308,"American Water Works Company, Inc",AWK,0.05%
309,"Nasdaq, Inc.",NDAQ,0.05%
310,Weyerhaeuser Company,WY,0.05%
311,"Builders Firstsource, Inc.",BLDR,0.05%
312,Broadridge Financial Solutions Inc,BR,0.05%
313,State Street Corporation,STT,0.05%
314,Genuine Parts Company,GPC,0.05%
315,Dte Energy Company,DTE,0.05%
316,Entergy Corporation,ETR,0.05%
317,Take-Two Interactive Software Inc,TTWO,0.05%
318,Western Digital Corp.,WDC,0.05%
319,Iron Mountain Inc.,IRM,0.05%
320,Align Technology Inc,ALGN,0.05%
321,"Corpay, Inc.",CPAY,0.05%
322,Garmin Ltd,GRMN,0.05%
323,International Flavors & Fragrances Inc.,IFF,0.05%
324,Hewlett Packard Enterprise Company,HPE,0.05%
325,Equity Residential,EQR,0.05%
326,"Ptc, Inc",PTC,0.05%
